,query_id,table_id,row,col,nul,in_links,out_links,pgcount,tImp,leftColhits,SecColhits,bodyhits,qInPgTitle,qInTableTitle,query_l,idf1,idf2,idf3,idf4,idf5,idf6,esim,eavg,emax,esum,resim,reavg,remax,resum,rel
0,1,table-0370-614,43,4,2,2121,858,1483.1648351648353,0.2,0,0,0,0.0,0.0,4,29.448853602238174,25.642191112467852,24.90025376773847,28.062559241118283,20.577839535866104,17.445876812718424,0.6009284778292006,0.14127544964729186,1.0000000000000002,6.216119784480842,0.6420394058879911,0.11508876341475635,0.6854827966277737,0.9207101073180508,2
1,1,table-0389-400,7,6,0,84,95,136.13186813186815,0.5,0,0,0,0.0,0.010416666666666666,4,29.448853602238174,25.642191112467852,24.90025376773847,28.062559241118283,20.577839535866104,17.445876812718424,0.6815284500479374,0.14429526933364378,1.0,10.389259392022351,0.8726139027584161,0.24911083691552285,0.7449145285705251,1.9928866953241828,2
2,1,table-0125-805,7,6,0,247,339,218.12087912087912,0.16666666666666666,0,0,0,0.0,0.010309278350515464,4,29.448853602238174,25.642191112467852,24.90025376773847,28.062559241118283,20.577839535866104,17.445876812718424,0.6775101424824626,0.12949455045308372,1.0,10.359564036246699,0.904720032197495,0.2940112285017165,0.7449145285705251,2.646101056515448,2
3,1,table-1042-895,7,6,3,8,61,31.923076923076927,1.0,0,0,0,0.0,0.0,4,29.448853602238174,25.642191112467852,24.90025376773847,28.062559241118283,20.577839535866104,17.445876812718424,0.7369461054011972,0.15605654646562578,1.0000000000000002,11.236071345525056,0.8825668163204025,0.5563920520376199,0.6871027950841807,1.6691761561128595,1
4,1,table-0255-236,66,6,1,253,1001,161.9010989010989,0.05555555555555555,0,0,0,0.0,0.0,4,29.448853602238174,25.642191112467852,24.90025376773847,28.062559241118283,20.577839535866104,17.445876812718424,0.6049649628922729,0.12648151606801866,0.8197070738177971,5.5651867069928205,0.6403172620340315,0.07686758782530427,1.0,9.300978126861818,1
5,1,table-0904-852,12,4,9,18,40,54.8021978021978,0.16666666666666666,0,0,0,0.0,0.0,4,29.448853602238174,25.642191112467852,24.90025376773847,28.062559241118283,20.577839535866104,17.445876812718424,0.5145813355517083,0.12939914625216792,1.0000000000000002,11.904721455199446,0.8786402436079149,0.3591754206792939,0.8320386213915084,1.4367016827171757,1
6,1,table-0914-101,12,4,9,682,235,1299.5824175824175,0.0625,0,0,0,0.0,0.0,4,29.448853602238174,25.642191112467852,24.90025376773847,28.062559241118283,20.577839535866104,17.445876812718424,0.517124290205162,0.13996317438740186,1.0000000000000002,10.637201253442539,0.7497351779947766,0.4569264032769648,0.8320386213915084,1.8277056131078593,1
7,1,table-0037-411,23,4,23,62,119,104.53846153846152,1.0,0,0,0,0.0,0.0,4,29.448853602238174,25.642191112467852,24.90025376773847,28.062559241118283,20.577839535866104,17.445876812718424,0.6749525690059784,0.1127343655461322,1.0000000000000002,9.920624168059632,0.738120236207001,0.3858806337743686,0.7023027053990569,1.1576419013231058,1
8,1,table-0552-510,1,4,0,5,17,2.2527472527472527,0.5,0,0,0,0.0,0.0,4,29.448853602238174,25.642191112467852,24.90025376773847,28.062559241118283,20.577839535866104,17.445876812718424,0.7992971145225695,0.166454212008304,1.0,6.6581684803321615,-0.203574830049908,-0.203574830049908,-0.203574830049908,-0.203574830049908,1
9,1,table-0875-680,8,2,0,147,238,93.15384615384615,1.0,0,0,0,0.016129032258064516,0.0,4,29.448853602238174,25.642191112467852,24.90025376773847,28.062559241118283,20.577839535866104,17.445876812718424,0.7195114613150227,0.1427921758833367,1.0000000000000002,17.706229809533752,0.1927342043017067,0.062319788095523125,0.30028991778925346,0.12463957619104625,0
10,1,table-1020-619,4,3,0,3,17,2.3956043956043955,1.0,0,0,0,0.0,0.0,4,29.448853602238174,25.642191112467852,24.90025376773847,28.062559241118283,20.577839535866104,17.445876812718424,0.7890317375199016,0.1817451047673107,1.0000000000000002,6.542823771623184,0.3091623113713173,0.3091623113713173,0.3091623113713173,0.3091623113713173,0
11,1,table-0288-531,3,5,0,44,47,107.2967032967033,0.5,0,0,0,0.0,0.04,4,29.448853602238174,25.642191112467852,24.90025376773847,28.062559241118283,20.577839535866104,17.445876812718424,0.712462584816366,0.13102561776049546,1.0000000000000002,5.765127181461799,0.0,0.0,0.0,0.0,0
12,1,table-0288-530,4,5,1,44,47,107.2967032967033,0.5,0,0,0,0.0,0.03571428571428571,4,29.448853602238174,25.642191112467852,24.90025376773847,28.062559241118283,20.577839535866104,17.445876812718424,0.7180776799514418,0.1222693690698659,1.0000000000000002,5.868929715353563,0.5148268001451186,-0.03645014233147455,0.676778013345564,-0.18225071165737272,0
13,1,table-1000-57,2,2,0,7,369,26.72527472527473,1.0,0,0,0,0.0,0.0,4,29.448853602238174,25.642191112467852,24.90025376773847,28.062559241118283,20.577839535866104,17.445876812718424,0.7797854813910037,0.15005177817548154,1.0000000000000002,7.202485352423113,0.853360222935732,0.7007266018764075,0.8717451893050686,2.1021798056292225,0
