,query_id,table_id,row,col,nul,in_link,out_link,pgcount,tImp,tPF,leftColhits,SecColhits,bodyhits,PMI,qInPgTitle,qInTableTitle,yRank,csr_score,idf1,idf2,idf3,idf4,idf5,idf6,query_l,rel
0,1,table-0875-680,8,2,0,31,21,51438,1.0,0.000259799305036859,0,0,0,0.0,0.3333333333333333,0.2222222222222222,100,7.467415343013774e-10,29.62786079242837,24.13564397488852,27.10063835630564,31.21926126676705,27.359181378368568,27.10063835630564,4,0
1,1,table-1020-619,4,3,0,18,0,324,1.0,0.0007864726700747149,0,0,0,-0.2310490601866484,0.0,0.2857142857142857,100,8.663725070176437e-10,29.62786079242837,24.13564397488852,27.10063835630564,31.21926126676705,27.359181378368568,27.10063835630564,4,0
2,1,table-0288-531,3,5,0,23,22,26419,0.5,0.00015840329478853158,0,0,0,-0.06931471805599453,0.0,0.0,100,2.142316228549161e-10,29.62786079242837,24.13564397488852,27.10063835630564,31.21926126676705,27.359181378368568,27.10063835630564,4,0
3,1,table-0288-530,4,5,1,23,22,26419,0.5,0.00021120439305137543,0,0,0,-0.06931471805599453,0.0,0.0,100,1.888429349097956e-10,29.62786079242837,24.13564397488852,27.10063835630564,31.21926126676705,27.359181378368568,27.10063835630564,4,0
4,1,table-1000-57,2,2,0,38,1,2268,1.0,0.00012960082944530845,0,0,0,0.0,0.0,0.5,100,7.673589443194233e-10,29.62786079242837,24.13564397488852,27.10063835630564,31.21926126676705,27.359181378368568,27.10063835630564,4,0
5,1,table-1042-895,7,6,3,41,3,10050,0.0,0.0008369201339072215,0,0,3,-0.3234686842613078,0.0,0.16666666666666666,100,4.937457371240778e-10,29.62786079242837,24.13564397488852,27.10063835630564,31.21926126676705,27.359181378368568,27.10063835630564,4,1
6,1,table-1423-774,9,2,0,61,99,107275,1.0,0.000321566385593826,0,14,14,-0.6931471805599453,0.0,0.0,100,7.955555655206819e-11,29.62786079242837,24.13564397488852,27.10063835630564,31.21926126676705,27.359181378368568,27.10063835630564,4,0
7,1,table-0255-236,66,6,1,639,114,38375,0.05555555555555555,0.039783001808318265,5,0,77,-0.7470363458240572,0.0,0.0,100,3.063200281457334e-11,29.62786079242837,24.13564397488852,27.10063835630564,31.21926126676705,27.359181378368568,27.10063835630564,4,1
8,1,table-0904-852,12,4,9,34,2,12340,0.16666666666666666,0.0006827880512091037,0,0,0,-0.1155245300933242,0.0,0.0625,100,5.5800977260706455e-11,29.62786079242837,24.13564397488852,27.10063835630564,31.21926126676705,27.359181378368568,27.10063835630564,4,1
9,1,table-0914-101,12,4,9,177,323,548585,0.0625,0.00017571861592303526,0,0,0,-0.1155245300933242,0.0,0.0625,22,6.797004273201831e-11,29.62786079242837,24.13564397488852,27.10063835630564,31.21926126676705,27.359181378368568,27.10063835630564,4,1
10,1,table-0839-987,4,5,7,15,13,2874,1.0,0.006024096385542169,0,0,0,-0.24927808282720695,0.0,0.3333333333333333,100,8.377636450594094e-12,29.62786079242837,24.13564397488852,27.10063835630564,31.21926126676705,27.359181378368568,27.10063835630564,4,0
11,1,table-1203-836,4,8,0,10,5,5523,0.3333333333333333,0.002343292325717633,1,1,8,-0.6931471805599451,0.0,0.0,100,1.5590695324917774e-11,29.62786079242837,24.13564397488852,27.10063835630564,31.21926126676705,27.359181378368568,27.10063835630564,4,0
12,1,table-1203-868,4,8,0,12,4,21241,0.5,0.0032258064516129032,1,1,8,-0.6931471805599451,0.0,0.0,100,1.5590695324917774e-11,29.62786079242837,24.13564397488852,27.10063835630564,31.21926126676705,27.359181378368568,27.10063835630564,4,0
13,1,table-0063-827,10,2,0,64,85,244971,0.2,0.00035852574214828624,2,0,2,-0.9870405130110048,0.0,0.08333333333333333,72,7.220011636543616e-11,29.62786079242837,24.13564397488852,27.10063835630564,31.21926126676705,27.359181378368568,27.10063835630564,4,0
14,1,table-0037-411,23,4,23,44,20,38315,1.0,0.0007072570725707258,0,0,0,-0.1155245300933242,0.0,0.16666666666666666,100,2.391913485771208e-10,29.62786079242837,24.13564397488852,27.10063835630564,31.21926126676705,27.359181378368568,27.10063835630564,4,1
15,1,table-1071-345,16,5,0,3,2,1993,0.16666666666666666,0.047619047619047616,4,4,21,-0.33194594014565376,0.0,0.0,100,5.2020272291027215e-12,29.62786079242837,24.13564397488852,27.10063835630564,31.21926126676705,27.359181378368568,27.10063835630564,4,0
16,1,table-0370-614,43,4,2,139,672,636298,0.09090909090909093,0.0022430881585811164,3,0,3,0.0,0.0,0.2222222222222222,20,2.7315387146967377e-10,29.62786079242837,24.13564397488852,27.10063835630564,31.21926126676705,27.359181378368568,27.10063835630564,4,2
17,1,table-0216-976,6,11,16,0,0,0,0.125,0.006430868167202572,0,0,0,-0.2564597308945609,0.3333333333333333,0.0,100,7.47996969169703e-12,29.62786079242837,24.13564397488852,27.10063835630564,31.21926126676705,27.359181378368568,27.10063835630564,4,0
18,1,table-0216-970,4,11,16,0,0,0,0.125,0.004287245444801715,0,0,0,-0.2564597308945609,0.3333333333333333,0.0,100,9.841857955216574e-12,29.62786079242837,24.13564397488852,27.10063835630564,31.21926126676705,27.359181378368568,27.10063835630564,4,0
19,1,table-1391-8,29,6,29,29,8,30201,1.0,0.01964769647696477,7,1,8,-0.5591206704007702,0.0,0.0,100,8.756364012803842e-13,29.62786079242837,24.13564397488852,27.10063835630564,31.21926126676705,27.359181378368568,27.10063835630564,4,0
20,1,table-0377-686,1,1,0,27,4,5776,1.0,0.00022436616558223018,1,0,1,0.0,0.0,0.14285714285714285,100,8.500863302946675e-12,29.62786079242837,24.13564397488852,27.10063835630564,31.21926126676705,27.359181378368568,27.10063835630564,4,0
21,1,table-0730-168,16,8,42,24,10,17411,0.25,0.008213552361396304,0,0,0,-0.6931471805599451,0.25,0.013888888888888888,100,9.48790768846233e-12,29.62786079242837,24.13564397488852,27.10063835630564,31.21926126676705,27.359181378368568,27.10063835630564,4,0
22,1,table-0389-400,7,6,0,50,83,49883,0.5,0.0004273765187129861,0,0,0,-0.046209812037329684,0.0,0.0,100,9.097240715975542e-12,29.62786079242837,24.13564397488852,27.10063835630564,31.21926126676705,27.359181378368568,27.10063835630564,4,2
23,1,table-0125-805,7,6,0,208,45,71055,0.3333333333333333,0.0001505343971097396,0,0,0,-0.046209812037329684,0.0,0.0,100,8.685421873818077e-12,29.62786079242837,24.13564397488852,27.10063835630564,31.21926126676705,27.359181378368568,27.10063835630564,4,2
24,1,table-0554-923,1,2,0,8,0,3368,0.5,0.0003757985719654265,0,0,0,0.0,0.0,0.25,100,7.284477853174011e-12,29.62786079242837,24.13564397488852,27.10063835630564,31.21926126676705,27.359181378368568,27.10063835630564,4,0
